NOMCODE;QTY;PART NUMBER;FABRICANT;PART DESC;REFERENCE;VALUE;TENSION;TOLE;NOTE
185-0600;1;;TDK;Condensateur 0402 X7R;C1;10nF;50V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C2;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C3;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C4;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C5;4.7µF;25V;10%;
185-0600;1;;TDK;Condensateur 0402 X7R;C6;10nF;50V;20%;
182-5750;1;;AVX;Condensateur cms 0603 X7R;C7;10nF;50V;5%;
185-0600;1;;TDK;Condensateur 0402 X7R;C8;10nF;50V;20%;
SANS;1;;Vishay;Condensateur cms 0603 NPO ou COG;C9;NC;;;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C10;10µF;6.3V;10%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C11;4.7µF;25V;10%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C12;4.7µF;25V;10%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C13;4.7µF;25V;10%;
185-0300;1;;TDK;Condensateur 0402 NPO;C14;470pF;16V;5%;
185-0700;1;;TDK;Condensateur 0402 X5R;C15;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C16;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C17;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C18;100nF;16V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C19;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C20;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C21;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C22;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C23;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C24;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C25;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C26;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C27;100nF;16V;20%;
181-0567;1;T491D476K025AT;Kemet;Condensateur tantale cms, boîtier D;C28;47µF;25V;;
185-0600;1;;TDK;Condensateur 0402 X7R;C29;10nF;50V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C30;10µF;6.3V;10%;
185-0600;1;;TDK;Condensateur 0402 X7R;C31;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C32;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C33;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C34;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C35;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C36;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C37;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C38;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C39;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C40;100nF;16V;20%;
185-0600;1;;TDK;Condensateur 0402 X7R;C41;10nF;50V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C42;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C43;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C44;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C45;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C46;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C47;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C48;100nF;16V;20%;
181-0544;1;293D475X9025A2WE3;Vishay;Condensateur tantale cms taille A;C49;4.7µF;25V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C50;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C51;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C52;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C53;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C54;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C55;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C56;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C57;100nF;16V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C58;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C59;100nF;16V;20%;
185-0150;1;;Vishay;Condensateur cms 0402 NPO ou COG;C60;100pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C61;100nF;16V;20%;
185-0130;1;;Vishay;Condensateur cms 0402 NPO ou COG;C62;68pF;;;
185-0030;1;;Vishay;Condensateur cms 0402 NPO ou COG;C63;6.8pF;;;
185-0700;1;;TDK;Condensateur 0402 X5R;C64;100nF;16V;20%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C65;10µF;6.3V;10%;
181-0545;1;293D106X96R3A2WE3;Vishay;Condensateur tantale cms taille A;C66;10µF;6.3V;10%;
185-0700;1;;TDK;Condensateur 0402 X5R;C67;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C68;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C69;100nF;16V;20%;
185-0700;1;;TDK;Condensateur 0402 X5R;C70;100nF;16V;20%;
