NOMCODE,QTY,PART NUMBER,FABRICANT,PART DESC,REFERENCE,VALUE,TENSION,TOLE,NOTE
185-0700,1,,TDK,Condensateur 0402 X5R,C1,100nF,16V,20%,
185-0700,1,,TDK,Condensateur 0402 X5R,C2,100nF,16V,20%,
185-0700,1,,TDK,Condensateur 0402 X5R,C3,100nF,16V,20%,
181-0545,1,293D106X96R3A2WE3,Vishay,Condensateur tantale cms taille A,C4,10�F,6.3V,10%,
182-0591,1,08052U150GAT2A,AVX,Condensateur cms 0805- COG- ultra faible ESR,C5,15pF,200V,2%,Farnell : 7568541
181-0545,1,293D106X96R3A2WE3,Vishay,Condensateur tantale cms taille A,C6,10�F,6.3V,10%,
SANS,1,,,,C7,NC,,,
SANS,1,,,,C8,NC,,,
182-0591,1,08052U150GAT2A,AVX,Condensateur cms 0805- COG- ultra faible ESR,C9,15pF,200V,2%,Farnell : 7568541
182-0605,1,08051A270JAT2A,AVX,Condensateur cms 0805 NPO ou COG,C10,27pF,100V,5%,Farnell : 1740652
182-0720,1,08051A102JAT2A,AVX,Condensateur cms 0805,C11,1nF,100V,5%,Farnell : 1740662
181-0542,1,293D475X9016A2WE3,Vishay,Condensateur tantale cms taille A,C12,4.7�F,16V,10%,
180-0882,1,5601,Johanson,Condensateur ajustable,C13,1-30pF,250V,,
180-0882,1,5601,Johanson,Condensateur ajustable,C14,1-30pF,250V,,
182-0594,1,08051A180JAT2A,AVX,Condensateur cms 0805 NPO ou COG,C15,18pF,100V,5%,Farnell : 1741651
210-0615,1,BZV55C15,Philips,Diode Zener cms,D1,15V,,,
280-0370,1,KP-2012PBC,Kingbright,Led cms 0805,D2,Bleue,,,
280-0350,1,KP-2012MGC,Kingbright,Led cms 0805,D3,Verte,,,
280-0340,1,KP-2012SRC-PRV,Kingbright,Led cms 0805,D4,Rouge,,,
210-0541,1,BAR43S,Fairchild,Double diode schottky,D5,,,,RS : 670-8779
210-0541,1,BAR43S,Fairchild,Double diode schottky,D6,,,,RS : 670-8779
190-6000,1,166.42.2520.001,IMS,Embase SMA- femelle- coud�e- 50 ohms,J1,,,,RS : 205-1353
190-4041,1,HDMR-19-02-S-SM,Samtec,Embase HDMI 19 pattes- m�le- coud�e,J2,,,,
190-6000,1,166.42.2520.001,IMS,Embase SMA- femelle- coud�e- 50 ohms,J3,,,,RS : 205-1353
190-1101,1,22-05-7028,Molex,Embase KK 2 points m�le- coud�e- pas 2.54 mm,J4,,,,RS : 173-2916
190-6001,1,,Radiospares,Embase SMA- femelle- droite- 50 ohms,J5,,,,RS : 546-3276
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K1,,,,
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K2,,,,
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K3,,,,
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K4,,,,
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K5,,,,
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K6,,,,
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K7,,,,
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K8,,,,
395-0287,1,MS05-1A87-75D,Meder electronic,Relais 1T- 5V- micro SIL- NO,K9,,,,
SANS,1,,,Antenne pour TCL3,L1,NC,,,Couche bottom sur layer 20
183-0950,1,BLM21PG300SN1D,Murata,Ferrite cms 0805- 30 ohms � 100 MHz- 3A.,L2,,,,
SANS,1,,,Point de test,PT1,NC,,,
SANS,1,,,Point de test,PT2,NC,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q1,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q2,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q3,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q4,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q5,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q6,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q7,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q8,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q9,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q10,,,,
470-0500,1,BCV61C,Infineon,Transistor double NPN- mirroir de courant,Q11,,,,
472-0500,1,BSS138LTxG,On Semiconductor,Transistor cms mosfet canal N,Q12,,,,RS : 436-5402
472-0500,1,BSS138LTxG,On Semiconductor,Transistor cms mosfet canal N,Q13,,,,RS : 436-5402
472-0500,1,BSS138LTxG,On Semiconductor,Transistor cms mosfet canal N,Q14,,,,RS : 436-5402
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q15,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q16,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q17,,,,
470-0131,1,ZVN3310F,Zetex,Transistor cms mosfet canal N,Q18,,,,
